Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z,Agent2_x,Agent2_y,Agent2_z,Agent3_x,Agent3_y,Agent3_z
33.59883167460361,29.018274114851728,25.0,21.39999999999996,25.0,25.0,27.806718194917774,29.4278055101658,25.0,24.999999999999996,21.39999999999996,25.0
33.552382738705525,29.165490460633666,25.0,21.59999999999996,25.0,25.0,27.91608165016399,29.26035511555113,25.0,24.999999999999996,21.59999999999996,25.0
33.5173791514715,29.293606971100964,25.0,21.799999999999958,25.0,25.0,28.022969056143697,29.091313456653303,25.0,24.999999999999996,21.799999999999958,25.0
33.490563826502104,29.411763968218708,25.0,21.999999999999957,25.0,25.0,28.12911427134716,28.92180477460601,25.0,24.999999999999996,21.999999999999957,25.0
33.467499339031406,29.52241084296597,25.0,22.199999999999957,25.0,25.0,28.231109127046295,28.749766844454218,25.0,24.999999999999996,22.199999999999957,25.0
33.40786774818552,29.656760729612326,25.0,22.399999999999956,25.0,25.0,28.329978804974253,28.575914071147544,25.0,24.999999999999996,22.399999999999956,25.0
33.32836685196996,29.793447475948668,25.0,22.599999999999955,25.0,25.0,28.423524909400967,28.399139846933192,25.0,24.999999999999996,22.599999999999955,25.0
33.272493358712275,29.906812479096068,25.0,22.799999999999955,25.0,25.0,28.517466018936762,28.22257521871116,25.0,24.999999999999996,22.799999999999955,25.0
33.180978224055835,30.04253739569269,25.0,22.999999999999954,25.0,25.0,28.604011598843826,28.042270303086127,25.0,24.999999999999996,22.999999999999954,25.0
33.081780309544705,30.167968872408174,25.0,23.199999999999953,25.0,25.0,28.689686366377323,27.861549982678927,25.0,24.999999999999996,23.199999999999953,25.0
32.98140931663665,30.291672871903092,25.0,23.399999999999952,25.0,25.0,28.765090454902683,27.676308995222964,25.0,24.999999999999996,23.399999999999952,25.0
32.86776931455763,30.421559401804863,25.0,23.59999999999995,25.0,25.0,28.84049624403573,27.491068700024478,25.0,24.999999999999996,23.59999999999995,25.0
32.746860590913066,30.555171698217645,25.0,23.79999999999995,25.0,25.0,28.906191108410717,27.302166119854824,25.0,24.999999999999996,23.79999999999995,25.0
32.63442480685555,30.677588563999034,25.0,23.99999999999995,25.0,25.0,28.964175606183566,27.11075609394701,25.0,24.999999999999996,23.99999999999995,25.0
32.52176284440759,30.803462105631713,25.0,24.19999999999995,25.0,25.0,29.025243479798974,26.92030737430812,25.0,24.999999999999996,24.19999999999995,25.0
32.40980050138282,30.927596135313753,25.0,24.39999999999995,25.0,25.0,29.092834716466996,26.732075005344416,25.0,24.999999999999996,24.39999999999995,25.0
32.337770579293974,31.014941744275955,25.0,24.564644660940623,25.03535533905933,25.0,29.165044629135252,26.545565679806945,25.0,25.035355339059326,24.564644660940623,25.0
32.27656856343369,31.094388948947653,25.0,24.693817750071872,25.10594978442789,25.0,29.246271467812836,26.362802990292796,25.0,25.105949784427885,24.693817750071872,25.0
32.21147746754779,31.17589345724982,25.0,24.787401526016847,25.211665594728828,25.0,29.33327989655046,26.182720971955014,25.0,25.211665594728824,24.787401526016847,25.0
32.120074900156354,31.284752341878953,25.0,24.845277145760203,25.352383926946803,25.0,29.42460197247829,26.00478761800407,25.0,25.352383926946796,24.8452771457602,25.0
32.02106379003461,31.39817535860597,25.0,24.86732511678678,25.527985288566654,25.0,29.517118352622013,25.82747230731404,25.0,25.527985288566644,24.867325116786773,25.0
31.922248267868714,31.513974784557416,25.0,24.8541393769448,25.72755015587756,25.0,29.613895881071084,25.652446280714308,25.0,25.727550155877548,24.854139376944786,25.0
31.857678317951233,31.589779082390557,25.0,25.054081155787795,25.722724694956653,25.0,29.71675005611721,25.48092071796758,25.0,25.75630952440035,25.052060822781687,25.0
31.822932275769173,31.671329077216374,25.0,25.217864287865407,25.752432584062877,25.0,29.826029608501422,25.313415555567417,25.0,25.806106476104897,25.199616188885013,25.0
31.761850080171342,31.740685602877257,25.0,25.344821047634465,25.81596567342807,25.0,29.93871800033058,25.1481844254891,25.0,25.89258394932388,25.313191157468506,25.0
31.67408395859514,31.83349941789362,25.0,25.4339162540286,25.912191339196912,25.0,30.053738383807154,24.984568071218195,25.0,26.016615797038266,25.393738884328133,25.0
31.590078913205165,31.91992293760478,25.0,25.483769125750687,26.039531373076116,25.0,30.16845269054842,24.82073697579101,25.0,26.1794281902492,25.442653228577605,25.0
31.51618830457969,31.99681829793543,25.0,25.492878686342596,26.196170345698615,25.0,30.287326882654998,24.659898776189646,25.0,26.378567712988268,25.46118564566919,25.0
31.42444251471493,32.09821842507573,25.0,25.692714552738757,26.18806932713943,25.0,30.408268716967935,24.500609502498598,25.0,26.391702246981335,25.660753889678062,25.0
31.311107749373775,32.19944338702229,25.0,25.8526348545499,26.210080560303748,25.0,30.531514806042065,24.34309632359622,25.0,26.436650995776866,25.819471065303677,25.0
31.22078473421551,32.276504526574186,25.0,25.96932335872898,26.257390897115176,25.0,30.65593954583468,24.186512530924247,25.0,26.525193879242487,25.953430882123204,25.0
31.133921971502904,32.35152158463754,25.0,26.037717678730097,26.320598432338258,25.0,30.783793162510115,24.032715740635854,25.0,26.662495100945936,26.072342327831148,25.0
31.045381293879725,32.42735569998773,25.0,26.069376940400158,26.426759257942408,25.0,30.913766077388917,23.880705736366703,25.0,26.832237071495175,26.178114079419466,25.0
30.95027320437701,32.51045134763737,25.0,26.063556618908684,26.579276387643606,25.0,31.045468353394373,23.730191582563872,25.0,27.008688867716597,26.272266953035906,25.0
30.874818439801043,32.57201474782379,25.0,26.017788192912416,26.77065559388093,25.0,31.178662356819572,23.58099588071034,25.0,27.187674339063594,26.361509325520576,25.0
30.842630989592642,32.68063627731228,25.0,26.2174159799903,26.7584594212687,25.0,31.313850155812574,23.433604364660646,25.0,27.181239383540813,26.56140577708343,25.0
30.82796052478569,32.76891268699112,25.0,26.36805710210968,26.75627856973188,25.0,31.451512744349888,23.288521589262576,25.0,27.223340979725112,26.749085325926636,25.0
30.809906870044653,32.86409235979492,25.0,26.4687249309196,26.757460019660698,25.0,31.590692330299188,23.144893448374443,25.0,27.307596719470077,26.93047157215283,25.0
30.719454035411204,32.93061193238886,25.0,26.48961721452969,26.904747838405033,25.0,31.73092567188462,23.002293974645458,25.0,27.403884336600374,27.105767592607858,25.0
