Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z,Agent2_x,Agent2_y,Agent2_z,Agent3_x,Agent3_y,Agent3_z,Agent4_x,Agent4_y,Agent4_z,Agent5_x,Agent5_y,Agent5_z,Agent6_x,Agent6_y,Agent6_z,Agent7_x,Agent7_y,Agent7_z,Agent8_x,Agent8_y,Agent8_z,Agent9_x,Agent9_y,Agent9_z,Agent10_x,Agent10_y,Agent10_z,Agent11_x,Agent11_y,Agent11_z,Agent12_x,Agent12_y,Agent12_z,Agent13_x,Agent13_y,Agent13_z,Agent14_x,Agent14_y,Agent14_z,Agent15_x,Agent15_y,Agent15_z,Agent16_x,Agent16_y,Agent16_z,Agent17_x,Agent17_y,Agent17_z,Agent18_x,Agent18_y,Agent18_z,Agent19_x,Agent19_y,Agent19_z
24.013066658344066,33.63186020339641,25.0,25.030252311148736,26.635272222028934,25.0,42.13253789003697,34.48433565608299,25.0,16.668502361587375,21.11257810148503,25.0,19.123858120250745,5.808874207035685,25.0,32.73284577385136,26.516259624745235,25.0,31.978919612950122,27.892895137011198,25.0,19.85946543600817,14.746182519793752,25.0,35.07462898049684,38.69114351331752,25.0,43.61107211787511,18.586765310100276,25.0,16.267929995872635,12.268663799261924,25.0,43.6219066894447,31.41722365957567,25.0,21.980326846989232,13.33984349149735,25.0,9.874571562842634,27.37446847159297,25.0,27.41536658019749,19.761238482216708,25.0,25.75827425467614,38.90743568692215,25.0,26.24355372198104,9.37262655788967,25.0,21.498904238071294,37.2202047190156,25.0,15.11228290697367,32.04542581831902,25.0,8.156922676903406,14.054560530315978,25.0
23.859845256895532,33.503317595136934,25.0,24.951837948872708,26.45128529915439,25.0,42.23183833347936,34.31072856540941,25.0,16.85630442031629,21.04380029447448,25.0,19.123858120250745,5.808874207035685,25.0,32.88414220407685,26.647062492454708,25.0,32.120202676737506,28.03445465059771,25.0,19.849405987650247,14.546435661248406,25.0,35.098478442729885,38.889716429776925,25.0,43.61107211787511,18.586765310100276,25.0,16.06836847919918,12.25542744542146,25.0,43.6219066894447,31.41722365957567,25.0,22.022159256207832,13.144267292692465,25.0,9.887317940156208,27.17487506021529,25.0,27.401516459346954,19.960758341259424,25.0,25.79939015349902,38.71170760292809,25.0,26.42737804325615,9.451421347741185,25.0,21.66214002718453,37.33576456131637,25.0,15.000390886271958,32.21119727455708,25.0,8.069333462235516,14.234360779130773,25.0
23.712728084459,33.367831294817385,25.0,24.865162635995468,26.271042712239886,25.0,42.32791084487459,34.13531456210804,25.0,17.047327472722845,20.984553408908376,25.0,19.123858120250745,5.808874207035685,25.0,33.03349864097336,26.78007623143523,25.0,32.27575884741722,28.160161761627528,25.0,19.83633968227016,14.346862938503753,25.0,35.10872290649369,39.08945388485782,25.0,43.61107211787511,18.586765310100276,25.0,15.868462473004328,12.2492964840593,25.0,43.6219066894447,31.41722365957567,25.0,22.051035947849726,12.946362930234688,25.0,9.893881344235098,26.97498278490957,25.0,27.38490735085661,20.1600674918651,25.0,25.806585510370002,38.511837077738655,25.0,26.609361466967194,9.534379370224892,25.0,21.828972756316062,37.44606796330617,25.0,14.88845899355361,32.37694181109596,25.0,7.986907065094351,14.41658561018935,25.0
23.568583913583232,33.229186215559096,25.0,24.76984206914995,26.095218966584618,25.0,42.4213359404712,33.95847635494465,25.0,17.24085712283241,20.934092785364175,25.0,19.123858120250745,5.808874207035685,25.0,33.18081784380187,26.915342829226308,25.0,32.41545587258049,28.30328667616212,25.0,19.821510587019766,14.147413451329545,25.0,35.12965644888717,39.288355334834584,25.0,43.61107211787511,18.586765310100276,25.0,15.668463321784762,12.249879160172354,25.0,43.6219066894447,31.41722365957567,25.0,22.0654772843218,12.746884992103926,25.0,9.89257752361115,26.774987034825273,25.0,27.365351207570328,20.359109088672817,25.0,25.942563661719458,38.36517439551995,25.0,26.79013138191589,9.619949445890635,25.0,21.999429286676367,37.5506842682377,25.0,14.776391825741305,32.542594912179304,25.0,7.9090334113945095,14.600802042842458,25.0
23.406930935857897,33.111422406209485,25.0,24.665485775773853,25.924603129005565,25.0,42.512446641456904,33.780434673965466,25.0,17.43631886664739,20.891728806504698,25.0,19.123858120250745,5.808874207035685,25.0,33.32742269620184,27.051383327802217,25.0,32.56672227550169,28.43412426765356,25.0,19.80571528414176,13.948038155951727,25.0,35.11807586436719,39.48801977849488,25.0,43.61107211787511,18.586765310100276,25.0,15.468588161642254,12.256944594200547,25.0,43.6219066894447,31.41722365957567,25.0,22.064882822843213,12.546885875567002,25.0,9.882655756884942,26.575233290066805,25.0,27.342546396537678,20.557804686494624,25.0,26.004737372864653,38.17508381279047,25.0,26.970213474888464,9.706957720155888,25.0,22.1737756881508,37.64868086150969,25.0,14.664195087958273,32.70816028304787,25.0,7.835175147598494,14.786664779476347,25.0
23.24036269208421,33.000720011627656,25.0,24.551517233858334,25.760252371618655,25.0,42.60188750493625,33.60154830796719,25.0,17.633256828496258,20.85686565715163,25.0,19.123858120250745,5.808874207035685,25.0,33.47084991723383,27.190769956526218,25.0,32.70832150391402,28.57536752771588,25.0,19.789419546224387,13.74870313914402,25.0,35.093646312493306,39.68652216385899,25.0,43.61107211787511,18.586765310100276,25.0,15.269034653810863,12.270301147355724,25.0,43.6219066894447,31.41722365957567,25.0,22.043988323954324,12.347980320299728,25.0,9.903428186486451,26.37631494961412,25.0,27.316168304538166,20.756057545900145,25.0,26.023404038607755,37.97595682920955,25.0,27.149901229721234,9.794777483097713,25.0,22.351178013148004,37.74103027994634,25.0,14.532230529693994,32.85844453159745,25.0,7.7314834127462815,14.957685316615423,25.0
23.07241021854526,32.892129189583855,25.0,24.49834940001237,25.56744889280116,25.0,42.6900258234447,33.42201659263393,25.0,17.831098310875365,20.827561257310705,25.0,19.123858120250745,5.808874207035685,25.0,33.61860410437803,27.32556127739428,25.0,32.860081505482285,28.70563226555387,25.0,19.767575846215653,13.549899585931486,25.0,35.05734372438889,39.88319987509471,25.0,43.61107211787511,18.586765310100276,25.0,15.070127127127808,12.291176870788211,25.0,43.6219066894447,31.41722365957567,25.0,22.005097912647468,12.151797915613722,25.0,9.956785937214,26.183563943294317,25.0,27.28590304058507,20.953754318250756,25.0,26.01745340915994,37.77604537378697,25.0,27.32936048288399,9.883063248962129,25.0,22.531671262712443,37.82718239461376,25.0,14.392011821648085,33.00105839457695,25.0,7.602634962844214,15.110649616234108,25.0
22.90358140368975,32.78490591191299,25.0,24.49250080487124,25.3675344262539,25.0,42.777147902569986,33.24198952986589,25.0,18.029520360503376,20.802487561503753,25.0,19.123858120250745,5.808874207035685,25.0,33.72085402085928,27.49744773578928,25.0,33.006557573933414,28.841811417302953,25.0,19.74522703221359,13.351152182142906,25.0,35.00930667564198,40.0773452895337,25.0,43.61107211787511,18.586765310100276,25.0,14.872224529031046,12.320065651768916,25.0,43.6219066894447,31.41722365957567,25.0,21.95576224536128,11.957978432760665,25.0,10.039348836925083,26.001400918529963,25.0,27.248647139742122,21.150253676652714,25.0,25.98772178414113,37.57826764381279,25.0,27.508685929452767,9.971620485893439,25.0,22.715200934200258,37.90666106900868,25.0,14.246368381044359,33.1381276770917,25.0,7.461306771848883,15.2521640763786,25.0
22.72975906617015,32.68598273475404,25.0,24.52073069671929,25.169536766655998,25.0,42.86347052181175,33.06157776359982,25.0,18.224633685792742,20.758546802583066,25.0,19.123858120250745,5.808874207035685,25.0,33.78050295395981,27.688345626767592,25.0,33.1510227442304,28.980121990185364,25.0,19.725589453550278,13.152118603306967,25.0,34.94982784393422,40.26829624810338,25.0,43.61107211787511,18.586765310100276,25.0,14.675565002978754,12.35646662446042,25.0,43.6219066894447,31.41722365957567,25.0,21.901245700472447,11.765551962821148,25.0,10.144332386653113,25.831170327018032,25.0,27.20293743965903,21.344960182240776,25.0,26.02133271886071,37.38111210859433,25.0,27.687933592909392,10.060335057105501,25.0,22.90161758999114,37.97910988158517,25.0,14.09725550053083,33.271414393852815,25.0,7.31622880327732,15.389831730659294,25.0
22.546506500965453,32.605867209754834,25.0,24.57287040059031,24.976452714284388,25.0,42.949163499020855,32.88086607704624,25.0,18.422540854574738,20.787404254734884,25.0,19.123858120250745,5.808874207035685,25.0,33.80988269441721,27.886175934988188,25.0,33.295322588502565,29.11860503948393,25.0,19.71333668220484,12.952494282157573,25.0,34.87890942641763,40.45530046745937,25.0,43.61107211787511,18.586765310100276,25.0,14.480207687975577,12.399309587415255,25.0,43.6219066894447,31.41722365957567,25.0,21.845776569839515,11.57339792162808,25.0,10.267129332267352,25.67330674620278,25.0,27.148280061884716,21.537346696983455,25.0,25.991354817485565,37.18337155779824,25.0,27.867136266673164,10.14914047200749,25.0,23.090899256778712,38.04370439077998,25.0,13.945025216367737,33.401129237196294,25.0,7.171370700295608,15.527730715429087,25.0
