scenario,total_time,total_collisions,max_collision_duration,avg_movement_time,avg_jerk,avg_path_ratio,avg_nn_distance,dispersion,avg_congestion_duration_seconds
SPHERE_DISCRETE,577,0,0,407.2,21.476535715082736,2.0756202840494256,9.342069939540803,1.4248463626024623,0.0
SPHERE_DYNAMIC,605,2,6,399.45,20.495544565817646,2.034527463068174,9.717085855437126,1.584464443669593,0.0
SPHERE_ROLE_BASED,559,0,0,385.55,18.327393854161247,1.9654393825928569,9.63803723177942,1.4557519184908567,0.0
