Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z,Agent2_x,Agent2_y,Agent2_z,Agent3_x,Agent3_y,Agent3_z
23.92076027930653,27.342445926386475,25.0,33.03238400556215,24.523226252164807,25.0,15.431754647758916,32.99262290293302,25.0,34.41493411626205,31.93454209068709,25.0
23.947539911014026,27.14424690689947,25.0,33.170040623492085,24.668314692573038,25.0,15.51539205521529,33.174295091431915,25.0,34.28598376995474,32.08742050050098,25.0
23.978560475335005,26.946667240462844,25.0,33.30356442360655,24.817215313132497,25.0,15.601600428815658,33.354761477003244,25.0,34.15013662998863,32.23420454106067,25.0
24.01308899514796,26.749670333584774,25.0,33.4325863898425,24.970033284027974,25.0,15.690203798994704,33.53406413396324,25.0,34.00773453455184,32.37463830913377,25.0
24.050409514104178,26.55318323766029,25.0,33.55673277044554,25.1268378636268,25.0,15.781043609313977,33.712244180155736,25.0,33.85912744391821,32.50848872046452,25.0
24.089826646123743,26.357105983234,25.0,33.67563125091573,25.287658109062136,25.0,15.873980020802447,33.889339700764374,25.0,33.70467204185694,32.6355459074871,25.0
24.130667352765247,26.161320292538733,25.0,33.788917081574745,25.452480196695735,25.0,15.96889234111753,34.06538415950252,25.0,33.54473030011036,32.755623545901045,25.0
24.17228104966281,25.965697440523645,25.0,33.89623881531421,25.62124644174241,25.0,16.065678799842505,34.24040524796754,25.0,33.37966800266535,32.868559093724464,25.0
24.214038117825734,25.770105141957373,25.0,33.99726336478232,25.793855944391503,25.0,16.164255876918304,34.41442409716265,25.0,33.209853226509445,32.97421391755717,25.0
24.25532686070237,25.574413446396047,25.0,34.091680174524846,25.970166653192877,25.0,16.264557368356087,34.587454761541416,25.0,33.03565477812079,33.07247327120344,25.0
24.29554890406486,25.378499722456795,25.0,34.179204410908724,26.14999854148141,25.0,16.366533346720868,34.75950388195923,25.0,32.85744059020854,33.163246082258176,25.0
24.334112979757556,25.182252908301844,25.0,34.25957918709785,26.333137547027874,25.0,16.470149146788067,34.93057043619014,25.0,32.67557609089875,33.246464493026465,25.0
24.370426959810843,24.985577300122564,25.0,34.33257694859633,26.519339928366595,25.0,16.575384481644104,35.10064549108573,25.0,32.49042256708626,33.32208309272137,25.0
24.403887905446496,24.788396253576078,25.0,34.398000236923075,26.70833673612936,25.0,16.682232773035796,35.26971187635103,25.0,32.30233555445177,33.39007776661745,25.0
24.526557961174948,24.63043405104782,25.0,34.45568212003903,26.899838173095766,25.0,16.73611842659542,35.46231596857249,25.0,32.111663298387114,33.4504440715169,25.0
24.658915365729673,24.48049567217324,25.0,34.50751049599456,27.09300602612989,25.0,16.790004080155047,35.65492006079395,25.0,31.91977690209062,33.506832110287064,25.0
24.796603346801774,24.33543699484476,25.0,34.55228179049133,27.287930450430906,25.0,16.843889733714672,35.84752415301541,25.0,31.725909678097675,33.555979841275075,25.0
24.93875579765098,24.19475053239167,25.0,34.589251452033785,27.484483863338024,25.0,16.897775387274297,36.040128245236865,25.0,31.53024229649359,33.59738365482167,25.0
25.085050394682906,24.058376448052794,25.0,34.61790752219632,27.682420291624585,25.0,16.951661040833923,36.23273233745832,25.0,31.333080074673113,33.63095534359081,25.0
25.23526755041445,23.92633552210964,25.0,34.63790106010992,27.881418428404046,25.0,17.005546694393548,36.42533642967978,25.0,31.13474124712364,33.65667905806403,25.0
25.38921534521535,23.79866376925906,25.0,34.649004810702245,28.081109957324987,25.0,17.059432347953173,36.61794052190124,25.0,30.935542357630723,33.674562078636306,25.0
25.5467140958282,23.675399242507073,25.0,34.651082928951496,28.28109916059492,25.0,17.1133180015128,36.8105446141227,25.0,30.73579578013783,33.68462710620091,25.0
25.707591547411504,23.55657817715222,25.0,34.644068576861635,28.480976119909293,25.0,17.167203655072424,37.003148706344156,25.0,30.535808817630578,33.68691070579867,25.0
25.871680597727654,23.442233157294144,25.0,34.627947578592234,28.680325344675275,25.0,17.22108930863205,37.195752798565614,25.0,30.33588303319298,33.68146270460451,25.0
26.038818034361373,23.332392011654136,25.0,34.60274669412819,28.8787312806304,25.0,17.274974962191674,37.38835689078707,25.0,30.13631363379498,33.66834573758007,25.0
26.208843852348316,23.227077144622594,25.0,34.568525347580085,29.07578178035175,25.0,17.3288606157513,37.58096098300853,25.0,29.937388880659757,33.6476348083375,25.0
26.381600938731033,23.12630517875632,25.0,34.525369883169716,29.271070299961906,25.0,17.382746269310925,37.77356507522999,25.0,29.739389521301703,33.61941684076717,25.0
26.55693498687335,23.03008682519512,25.0,34.473389626889144,29.464197338351163,25.0,17.43663192287055,37.96616916745145,25.0,29.54258824198412,33.58379021506443,25.0
26.734694547989243,22.938426918846243,25.0,34.41271420514977,29.654771453059194,25.0,17.49663963097032,38.156954583478495,25.0,29.349896306940405,33.530219531205546,25.0
26.914731158145997,22.85132457098314,25.0,34.344501867956716,29.8427796365371,25.0,17.558957833643873,38.34699784596243,25.0,29.160756483496034,33.465210861111224,25.0
27.09691381973739,22.768805010783904,25.0,34.26868860779343,30.027853539568873,25.0,17.62369813222519,38.53622969777285,25.0,28.974216067308788,33.393081303170746,25.0
27.28109421805817,22.690846169884363,25.0,34.184859487370474,30.209437345479845,25.0,17.69094558465424,38.72458515997611,25.0,28.789505386285274,33.31638733785515,25.0
27.4671228204674,22.617406677200464,25.0,34.09264755252478,30.386911171921984,25.0,17.76077216558491,38.91199980346891,25.0,28.60620661789899,33.23637757902492,25.0
27.654857318382195,22.54844467104723,25.0,33.991888851970224,30.559675995490203,25.0,17.83325005897056,39.098405154707486,25.0,28.424239876105744,33.153382971482316,25.0
27.844164417586168,22.483924734663365,25.0,33.88265282979388,30.72720954872384,25.0,17.908457880133074,39.2837259134907,25.0,28.24378634561342,33.06714769254814,25.0
28.03491871338445,22.42381817400231,25.0,33.76521037633366,30.88909614522042,25.0,17.986481131699446,39.46787903514496,25.0,28.065247932670477,32.97701426310148,25.0
28.22700081196067,22.36810042632211,25.0,33.63998355766975,31.045039224218225,25.0,18.067410560612178,39.65077361553448,25.0,27.889737457950844,32.88111810434792,25.0
28.42029575293225,22.316748057391422,25.0,33.50758258853273,31.194939135397576,25.0,18.15136076795395,39.83230147203941,25.0,27.71758538504033,32.77931602287306,25.0
