Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z,Agent2_x,Agent2_y,Agent2_z,Agent3_x,Agent3_y,Agent3_z,Agent4_x,Agent4_y,Agent4_z,Agent5_x,Agent5_y,Agent5_z,Agent6_x,Agent6_y,Agent6_z,Agent7_x,Agent7_y,Agent7_z,Agent8_x,Agent8_y,Agent8_z,Agent9_x,Agent9_y,Agent9_z,Agent10_x,Agent10_y,Agent10_z,Agent11_x,Agent11_y,Agent11_z,Agent12_x,Agent12_y,Agent12_z,Agent13_x,Agent13_y,Agent13_z,Agent14_x,Agent14_y,Agent14_z,Agent15_x,Agent15_y,Agent15_z,Agent16_x,Agent16_y,Agent16_z,Agent17_x,Agent17_y,Agent17_z,Agent18_x,Agent18_y,Agent18_z,Agent19_x,Agent19_y,Agent19_z,Agent20_x,Agent20_y,Agent20_z,Agent21_x,Agent21_y,Agent21_z,Agent22_x,Agent22_y,Agent22_z,Agent23_x,Agent23_y,Agent23_z,Agent24_x,Agent24_y,Agent24_z,Agent25_x,Agent25_y,Agent25_z,Agent26_x,Agent26_y,Agent26_z,Agent27_x,Agent27_y,Agent27_z,Agent28_x,Agent28_y,Agent28_z,Agent29_x,Agent29_y,Agent29_z,Agent30_x,Agent30_y,Agent30_z,Agent31_x,Agent31_y,Agent31_z
30.123388290339435,21.788390474835666,25.362745544363406,18.40743927819484,26.952814044061213,26.72244190607735,25.37484813238527,17.788501185624085,24.915615382830204,19.940638691176233,24.983043271656232,26.959151481492498,24.502596167311264,31.176561626616085,26.22872194118409,22.559291241771156,32.38384879422868,26.001700923921366,31.274449271946086,23.401509797164856,26.502058028471524,27.016581151829627,18.57407135954456,26.235907415360284,21.5818656771593,28.495245122390784,23.049924198576466,29.961996789616414,25.267813073079452,23.063521831758607,29.433570276777935,28.1743983985507,27.622536731105882,19.619288088172365,25.167161794107717,24.441006448913495,27.1568445358813,29.566043037044615,27.451237702110486,19.653177918068945,28.993913752335647,25.03689170022297,22.469352910894376,29.098144273622975,25.894069671975785,23.94246923788916,20.287499799596205,25.005278907457257,31.99071869433475,25.956114015171803,23.437746111643317,32.08842074441694,27.931014614496462,25.151835967015764,26.240988613294334,19.679800577105524,23.104911351813726,28.74985463948118,28.126597303703974,24.502455801839524,21.33073464680802,21.49576382296319,22.972343032294184,27.47213696561428,20.644027363064854,26.700761676566504,22.04330184874539,19.513657503345875,24.555004032973468,20.26734940374275,22.60973732677098,26.29931352698437,30.536295236853647,25.567334800684357,25.525836762858333,20.483772578733046,19.44295771799995,26.17046753365239,27.096055859759435,31.334441143632073,26.42940563199853,21.935335565570842,30.60194327728603,23.60924019387112,17.88224504221536,27.55530040237594,24.641168946053966,29.214381307064052,20.45827018603113,24.031722176656967,18.61887600063777,21.341273982615785,25.99138722513163,27.41028894009562,31.4038763005979,24.429912465557006
30.013197057481506,21.894302778415433,25.363316613718613,18.57594671703228,26.92020058197751,26.755450792003646,25.385160043786165,17.949207192193885,24.903096180700057,20.13094980510622,25.03317638274828,26.992830796013678,24.492910512171374,31.00290682850575,26.253365274041293,22.58432441640138,32.229009424301125,26.015746900788393,31.11835171350359,23.48900892292745,26.52216824196046,27.01058805209881,18.747167601135928,26.260879002970963,21.72029983748534,28.352593504050823,23.027867475342617,29.782520864088035,25.291853912212897,23.03969619516054,29.31154290524494,28.02263340373334,27.668107631303652,19.78603815470652,25.13160409383927,24.436979368980726,27.04097208007395,29.407751073662453,27.490189317144946,19.792780103277636,28.910478955066296,25.03443694785851,22.584009915460737,28.934277138608902,25.89522438672355,23.98251554745885,20.48344927521144,25.004968913969513,31.825417099656562,25.91718403277522,23.42101762105215,31.959505062640233,27.8657482147898,25.117959576312238,26.14019244621399,19.836314888043383,23.031812766508953,28.581682965346936,28.018555560637246,24.4957275201875,21.417168874113163,21.654496874529514,22.94016949775914,27.35523567773551,20.805022251953798,26.721126711403752,22.081854176529642,19.677919936278208,24.544939191607217,20.436768693057818,22.680104227677262,26.320560921543183,30.3582947185782,25.59360151817922,25.528460852036066,20.612402718374298,19.55654504088848,26.178929120485066,27.078806389890172,31.16218383961408,26.46031021019745,22.002120024268795,30.438655931185387,23.58550148477834,18.02954193949859,27.469784733973484,24.63740893061752,29.07935801309402,20.590191397931026,24.02547490557709,18.747442360316825,21.44030804361017,26.007136181035083,27.34228769570662,31.229268915430865,24.435621644986462
29.90389786642842,22.000213628833347,25.364018461675585,18.744454203040352,26.887587086656566,26.78845959379959,25.395281808994522,18.109694904526087,24.890106945137394,20.321268947597698,25.083327655156786,27.026484877957238,24.484547022905264,30.82849078063294,26.27577313155041,22.60946869591962,32.07433983397264,26.029872281654317,30.962375541039787,23.57698587395796,26.542363037555116,27.00289445709692,18.92067349724738,26.286774991385837,21.857870973735825,28.20855987588827,23.00974300489291,29.601292620257134,25.313919040911,23.016374013072046,29.189533150314276,27.87085799425136,27.71369101400322,19.952502794180003,25.095241954805218,24.432964701793086,26.925072041358888,29.24948422260608,27.52916090785596,19.932159995230812,28.827376038049234,25.03143771302437,22.698674583268776,28.77041528819709,25.896368037058426,24.022556731704746,20.679399818774954,25.004672196342444,31.65991771425507,25.878321811809002,23.404293163420846,31.82886351731483,27.803787173874362,25.081558358525374,26.046416650309464,19.99607089763877,22.956419679951694,28.413516005580195,27.910506854559458,24.488993223065524,21.49189563312121,21.810786969040173,22.90665563358005,27.238260021981834,20.96596676467667,26.741462880792174,22.101611826285904,19.83666111109113,24.526152841963462,20.606131857562332,22.750500024669844,26.34180437964851,30.180293304649755,25.61983268280739,25.531087076549994,20.741018571573925,19.670208278160246,26.187264794253977,27.06035966170565,30.988892712186477,26.49382028585942,22.069052458953923,30.27537876364709,23.561815106722012,18.17683010939895,27.384251039340693,24.633647679488398,28.94437521520087,20.72214579060769,24.019298076227784,18.876004759963855,21.5393489618392,26.022886068427468,27.274255745335427,31.054648175573835,24.4413237443884
29.79531406164243,22.106124594565546,25.3648214207444,18.912961701739565,26.85497362156602,26.82146837090946,25.405232452523872,18.270009003159146,24.876747080483717,20.511592823164882,25.13348957864256,27.06012413888672,24.478312134951153,30.65397654255693,26.296255852373555,22.634705065114147,31.91972181647932,26.043986672781834,30.80651067749988,23.66532102974153,26.56263624871766,26.99404951675591,19.0944441024936,26.31330058281354,21.995010234636062,28.06386354321302,22.9937494302434,29.4105807008956,25.314323041687487,22.9901629131969,29.067540691844176,27.719072380059625,27.75928670898486,20.122381861862557,25.065253358706435,24.42813575473101,26.809545497714037,29.09063321136407,27.566843449448402,20.07154530694733,28.744270975294693,25.028444511952262,22.81336084228211,28.606568470451286,25.897500427494883,24.062593293237857,20.8753513258539,25.004388270128764,31.494325893606796,25.83954308774346,23.387578131130603,31.69621008871789,27.745095834341644,25.043120555973967,25.95657047730568,20.157472443151008,22.879849404409452,28.245349675053333,27.80245721890594,24.48225812750035,21.559804730191242,21.96570454768598,22.87326981862341,27.12126570085438,21.126898618661915,26.761791855109564,22.119668946850144,19.981433373729004,24.503530271486497,20.775427948551,22.820932390290107,26.36304077015057,30.002291449532187,25.6460416833345,25.53371449886103,20.86959253211626,19.784023624560703,26.195343543644526,27.039425353023805,30.814002049428094,26.530027928286003,22.136049271852688,30.11208555122112,23.538153964621827,18.32411733839534,27.298715273393896,24.62988628274854,28.80943553721704,20.854124660038643,24.01316575590948,19.00456419235719,21.638394940473592,26.038636646430298,27.20187906062333,30.907739293842372,24.43767158201495
29.687298339959266,22.212034870086363,25.365703839329733,19.08146920232165,26.822360160113533,26.854477144691693,25.415030688318083,18.430184121114483,24.86309446385041,20.7019209582299,25.183661083518814,27.093750047465917,24.473501782886835,30.47944683344471,26.31562045491217,22.660022379241468,31.765150312390343,26.05809240924313,30.650740874772364,23.753929922187847,26.582976859622068,26.984408849938486,19.268385603260704,26.340269509243267,22.13216010621618,27.91917664135157,22.977761523710896,29.21791279433351,25.312337628835465,22.96431648999466,28.94554212112044,27.567290325846006,27.80487790067864,20.295278152333687,25.04170551419668,24.42371971976819,26.69494813508146,28.930580929072978,27.602208847948493,20.210937489691975,28.66117197755365,25.02544882311254,22.9280634301277,28.442732999361883,25.898620585715182,24.10262541567378,21.071303757287698,25.004116629820967,31.326231346568058,25.79753821317055,23.367225865163263,31.56125374853337,27.689660940438102,25.00300648714522,25.864687138611274,20.31582148715211,22.7993321246845,28.07718355087716,27.69440727809833,24.475522775168404,21.623850619029504,22.119415342631417,22.84065542179258,27.004265216123837,21.28782629136921,26.78211845664136,22.1417956663269,20.117458605467768,24.480713929798863,20.94462640362454,22.8913465661021,26.384240998805147,29.824289214014648,25.672231184575278,25.536342964780157,20.99812686797858,19.8979683676591,26.203216595793375,27.01625215888941,30.637421809542683,26.568343652726643,22.20530779821126,29.949254344768363,23.51525855845315,18.47140098425659,27.213172413148264,24.626124409371275,28.67453996819403,20.986123383051815,24.007064049533675,19.13312257820663,21.737442703886313,26.054387468060902,27.11878360542983,30.77410016188188,24.422889690921956
29.579731557365694,22.3179434804328,25.36664901584522,19.249976704226807,26.789746701128152,26.887485916188318,25.42469218795784,18.590246921840304,24.849210154238126,20.892242760594822,25.23380098931224,27.127360255605634,24.469247594035615,30.30488022079168,26.334442164280762,22.685420884398123,31.610625455362754,26.07218947036316,30.495050098184105,23.84274969820007,26.603373801892914,26.974206958167738,19.442439921240883,26.367559739601067,22.273539057129234,27.779730280429387,22.953955964186182,29.028252232291543,25.31670118481609,22.939321945804735,28.823613772581254,27.416145690616318,27.850517349699285,20.467655925711266,25.01706101788159,24.41923409965069,26.58206789599575,28.768732671444624,27.634815490318083,20.349876201376315,28.57847795263717,25.02195048198655,23.043107271866997,28.279138809080038,25.899982710485922,24.142653350415806,21.267257060274382,25.003856843568794,31.154331804717554,25.7526478201387,23.3415608633911,31.423601827390232,27.634798257519442,24.961031204432388,25.773079092380613,20.472883401512735,22.716028337716697,27.90901757572581,27.586357116842564,24.468787238515773,21.686499171544302,22.267984072922598,22.81057079000825,26.887261324185626,21.448751652517437,26.802443746568535,22.166970533012407,20.252507023789974,24.45876864294267,21.12769474872666,22.93221151255549,26.432440860044085,29.646286980582605,25.698420690963868,25.538971432027605,21.126649930822236,20.011949139961914,26.211036569399564,26.991812143509282,30.45961491174083,26.607962553048143,22.274754948275266,29.78645846926439,23.49243992776598,18.618697359625134,27.12761410421527,24.62236019347779,28.539688775740032,21.118139460636744,24.000985466571862,19.261680843216794,21.836490673457583,26.070138317790484,27.033255213460436,30.643213272662926,24.402311736011008
29.465948386184017,22.419002936064373,25.36546945636975,19.418484207528323,26.757133244526752,26.920494685367874,25.434229826075498,18.75021801274464,24.83514200956313,21.080814312600964,25.277029865085648,27.160365638375286,24.46571717979688,30.13063009850374,26.352531416221545,22.710924001633096,31.456158948047598,26.08627385972504,30.339421654437494,23.931735621684272,26.623815061609633,27.004081406389908,19.610248920988422,26.387753238714268,22.415135691997058,27.64334284248055,22.91722913797073,28.838158841297627,25.320641386394716,22.914503611676743,28.702272331239648,27.26932220465103,27.896563584770973,20.64675752559083,25.00480456360713,24.412923787199926,26.471463774760444,28.60479635612576,27.664675377883842,20.488660750362037,28.49589642152614,25.01830822399364,23.158199786531533,28.11557949593395,25.90141942596708,24.182598323120164,21.46322746137548,25.00382447194549,30.978826232075942,25.704607099123862,23.31187328183338,31.284909430369666,27.581300996306915,24.91854089990439,25.683300087176633,20.630696440412706,22.632154772287894,27.740851611132726,27.478306939617593,24.462051694430034,21.751257491435425,22.41209502395252,22.78174114125302,26.770256813284313,21.609676593716674,26.822768798321654,22.194717093141797,20.385063769605296,24.437219501572734,21.30415790433538,22.98255515632283,26.486739901451102,29.468284749259098,25.72461020144513,25.54159989994704,21.255173132522668,20.12593050212376,26.218856582548742,26.96658838213032,30.28116741638249,26.648371212820614,22.344070007394432,29.62472605571234,23.469420132360778,18.765994771502903,27.042057502663987,24.618596081839602,28.40488195715373,21.250171505163514,23.994925895127537,19.39023909569947,21.935538665302744,26.085889170056085,26.946184068119376,30.513338123925035,24.378788970424687
29.345673606982515,22.51630101875749,25.36669205041898,19.586992339324553,26.72451962343538,26.95350292896118,25.44462916132285,18.909685868765337,24.819130230344012,21.269347927785333,25.32013033723354,27.19339794742331,24.462707551511155,29.956629657039123,26.370095643016743,22.736516592450087,31.30174361111944,26.100348523666213,30.182593256797993,24.017571887880155,26.643432616121494,27.03731440833062,19.774366659529097,26.39941936544333,22.55644207092528,27.505848666974977,22.88364552624959,28.64784714640235,25.324338050552672,22.889785352374332,28.581397790902617,27.12813052794518,27.94290145805607,20.8372715883385,25.007976022045522,24.4027115318112,26.36300685307198,28.43895614072355,27.691770010068296,20.62745915579295,28.413311611729302,25.01467380435285,23.27329705499404,27.9520233935055,25.90284074608718,24.222543295824522,21.65919786247658,25.003792100322183,30.80062731901498,25.65414090438615,23.2795603803213,31.147174629545386,27.52675174275679,24.877420303676633,25.594491836105277,20.788901057964036,22.54798593288111,27.557478001685798,27.400318663013277,24.444965206473345,21.817813426609774,22.552068425236573,22.755287841883387,26.676940885287152,21.78591388371071,26.83801855889642,22.220009198548443,20.531647718545468,24.409317791993935,21.47690716832262,23.034203955137098,26.542691480951852,29.29028251970691,25.75079971536649,25.5442283684104,21.38528108086744,20.245733569414302,26.228178500593646,26.940877392309066,30.102433192458893,26.689268662589658,22.41130252572246,29.462571468156007,23.445685210168406,18.91329783495228,26.956492901158846,24.614830817761167,28.270096173203996,21.382240124190268,23.98895758972732,19.5187973481835,22.034586657155888,26.101640022317067,26.858313127653876,30.384277742951937,24.353944717636505
