Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z,Agent2_x,Agent2_y,Agent2_z,Agent3_x,Agent3_y,Agent3_z,Agent4_x,Agent4_y,Agent4_z,Agent5_x,Agent5_y,Agent5_z,Agent6_x,Agent6_y,Agent6_z,Agent7_x,Agent7_y,Agent7_z,Agent8_x,Agent8_y,Agent8_z,Agent9_x,Agent9_y,Agent9_z,Agent10_x,Agent10_y,Agent10_z,Agent11_x,Agent11_y,Agent11_z,Agent12_x,Agent12_y,Agent12_z,Agent13_x,Agent13_y,Agent13_z,Agent14_x,Agent14_y,Agent14_z,Agent15_x,Agent15_y,Agent15_z,Agent16_x,Agent16_y,Agent16_z,Agent17_x,Agent17_y,Agent17_z,Agent18_x,Agent18_y,Agent18_z,Agent19_x,Agent19_y,Agent19_z,Agent20_x,Agent20_y,Agent20_z,Agent21_x,Agent21_y,Agent21_z,Agent22_x,Agent22_y,Agent22_z,Agent23_x,Agent23_y,Agent23_z,Agent24_x,Agent24_y,Agent24_z,Agent25_x,Agent25_y,Agent25_z,Agent26_x,Agent26_y,Agent26_z,Agent27_x,Agent27_y,Agent27_z,Agent28_x,Agent28_y,Agent28_z,Agent29_x,Agent29_y,Agent29_z
37.16410635273584,17.367719647939563,36.25370540546533,28.54357453396831,27.46993360462613,38.587442602330235,29.49312982349344,20.13866468291862,25.950172069605205,32.37273810612274,18.722212899190207,23.139542671919045,18.943854934564467,18.94163205559181,35.02249144295121,20.36431272508483,27.310337855315908,24.654721824677093,17.754019778866702,34.256619359649775,32.85073773591801,15.420837425293353,11.734525357926309,23.902868253133242,10.387876891166892,14.234478517085227,31.273622162940786,36.67081754878669,29.990466033046328,33.14535721934599,25.845804197796753,12.945354977293784,35.900497315279694,17.018031513544035,10.483820405961493,31.235497604947895,15.978158377018854,33.89269976192522,22.458062284007248,34.31672047756743,14.854327620381847,28.949907888004805,21.890877844692536,24.53409108595734,40.40937262014506,20.391806895027738,19.486359205145746,15.8781137852987,12.818122533110495,22.485512918837063,29.098221031897506,29.296498969346715,17.63680916641404,27.643889452734296,29.116569335213278,28.249599942566583,21.15262145519107,34.00625929600366,21.337377624480297,13.520821533147387,25.767503436711774,21.769891555052464,34.380447973690046,30.521913511961202,28.66975185001752,13.78444070936303,34.768071192619665,12.008112983672142,21.630710506797598,26.239304517168687,19.4679617915415,17.967848483061786,39.2146093840535,16.65078976509367,20.923428543856232,24.022408750600665,30.42026046035472,19.629809956277548,29.166291602953162,34.44900220873927,35.55842311877308,30.239652565346855,21.90696419702008,38.340988651189974,30.3617903362653,15.457459459913624,16.614713533741476,21.932381366262547,26.60616913249887,30.749860497027353
37.09545412400963,17.533182222691785,36.164772802628754,28.62598575977404,27.299946793770477,38.52177012714983,29.496207330471385,20.10061987977265,25.753848046866302,32.39880558578087,18.524282705000758,23.127537475860688,18.948053948899922,18.854228191522605,35.202332853155816,20.174309696310264,27.3456417711685,24.706224082704917,17.701520236587857,34.06377739136427,32.858205890193595,15.294288423804103,11.619513910480249,24.006587668762315,10.478921491562637,14.3508881305861,31.138864296293395,36.53342212394561,30.09318898185145,33.04254431635458,25.796254835204486,13.128163987781338,35.83626549799837,17.119347841766523,10.314554819668107,31.202570975416933,16.13394342635148,33.96284571837185,22.354088425760963,34.19007802169323,14.702646654703452,28.919011722854062,21.786446469328048,24.637319691851932,40.273586233623654,20.4980533058728,19.526074982668426,16.0428388811351,12.856962404071853,22.64474110467983,29.212841489307717,29.454928560957118,17.59398687934903,27.758197441224524,29.310015323955742,28.237096837583326,21.1034043666422,33.96088515360913,21.36028849045464,13.71425441407063,25.824802054385692,21.946913190340034,34.307098065354914,30.330558525258997,28.710143060269484,13.742585970102333,34.84180688822018,12.171322416509437,21.541683947686074,26.196102458438776,19.613996541915686,18.09749197038239,39.34257941597028,16.762371150769354,20.817724876455742,24.08429921325224,30.231790254001265,19.604343273143293,29.210151214675722,34.39049122091373,35.7445757410034,30.201086159448007,21.750532285988033,38.45948628638539,30.196312354544936,15.351220568086761,16.65118729731414,22.122465064744706,26.548255060805417,30.727185668004207
37.02026951478683,17.69754522582974,36.07914525019679,28.717956032116952,27.134393135483954,38.457478174052106,29.524527424506413,20.047897184550816,25.56301228061062,32.42121107693069,18.325816405191627,23.117091337511592,18.925264651440326,18.763221268225013,35.378963506874825,19.978020783164574,27.34918942831385,24.74440885329299,17.639796934396564,33.873678572698616,32.85094826602824,15.1692033240758,11.508870956072915,24.116641539507405,10.582136294348318,14.461986488406852,31.008465449000003,36.393231606015824,30.194072495156057,32.94170218514992,25.750507700074525,13.313688811212975,35.77720841105649,17.2171905986035,10.143271610081534,31.16957314142344,16.301606665864032,34.00660380597406,22.254217169207568,34.06734563305214,14.549736844618996,28.87957378733015,21.68673326656473,24.728419638115266,40.12608004058249,20.626076950407715,19.527758663822265,16.1964849408235,12.870210082626121,22.79778018265583,29.34091779322526,29.609505083686575,17.546209163240334,27.87577034824101,29.502223498086856,28.22638272485797,21.04917129937054,33.91911455347925,21.374143599386674,13.909352473828463,25.86858661997725,22.123529614722102,34.22409474943048,30.13932969499812,28.7495970924976,13.699285695068566,34.92806666088606,12.33421810958662,21.464067939050395,26.158431497557416,19.756161321704212,18.233028216803614,39.46887243789681,16.877977839238525,20.714355798904204,24.151345206689648,30.049084904684463,19.55826084596094,29.253425189482872,34.3227874463521,35.927724756874355,30.152922686957208,21.631387017439362,38.61273342306367,30.049253205434262,15.218446165362352,16.678474009172113,22.316129730144272,26.5228960483742,30.68416337303767
36.93080017467728,17.85215088936984,35.98918789373449,28.81660111303297,26.97240097393757,38.39401410856144,29.573439115597083,19.97926356498621,25.381636778571036,32.439732164849865,18.12755900510727,23.098357074406785,18.882936906586732,18.67138971840205,35.55151879793459,19.780193255940084,27.32593146236853,24.762390413078798,17.57492229434673,33.68480609126674,32.84006401887136,15.041269515115438,11.404001671548546,24.229048717606673,10.704982855768295,14.547379008606535,30.875737005020444,36.25003406013619,30.291220484355296,32.84141893107132,25.699292996382024,13.501836009058575,35.732737228606084,17.312872555621173,9.97018477341301,31.139808899901904,16.4657093900541,34.09162042838726,22.17778111863685,33.94505626508346,14.399032777275057,28.831266494218102,21.585382851712502,24.78512589353266,39.96325346410979,20.78149956364893,19.509105255413893,16.320967315672398,12.85605219557749,22.947539382779023,29.47271967565787,29.755338110432696,17.496425250307052,28.003262663002005,29.69540704710952,28.224435748021595,20.997438083075714,33.87386026044294,21.37832655986095,14.104120417298262,25.91551879324487,22.308555896921586,34.16440684439257,29.947101857850686,28.786202293168653,13.657951473055189,35.022844119714215,12.497591719720875,21.398293348137347,26.13105365593199,19.8842461444919,18.384172955247863,39.59372562481111,16.994247455708297,20.60998598524472,24.199346946018856,29.87027391047538,19.482613893799407,29.251807183699587,34.20717704336168,36.090916719843364,30.058729308002768,21.485688925831006,38.712230525849776,29.893332250762292,15.094457137077422,16.69623285933592,22.50683192315132,26.501715751052718,30.627735821365842
36.846322653218,18.019545975973823,35.919600298942434,28.912830190629393,26.820680336831312,38.306145952207665,29.6270533267833,19.898825678169754,25.20655033499706,32.454110585344374,17.92954206687152,23.074220935614044,18.82936906913338,18.585879052396837,35.72419888592946,19.583897494385447,27.287624051281096,24.761671906667207,17.512728423407022,33.495233493297356,32.82613015664034,14.906474052144722,11.309343459697438,24.342494766862085,10.846994202692326,14.616174522451868,30.75285513239645,36.10906012884277,30.39298387612976,32.742572773886344,25.63481207991458,13.688898303461164,35.70358402253269,17.408224924898743,9.795843904493816,31.11715526669099,16.653881234078828,34.13133298034008,22.122878747706917,33.82139454412198,14.252376169563577,28.774701326637633,21.486596958723318,24.818822008856984,39.79264889453916,20.95944851557858,19.485873641555145,16.40925356955519,12.80993335313843,23.094046803055644,29.60081584334438,29.900354291279623,17.450206987459843,28.133009260151823,29.8930678338404,28.251860668188876,20.984093153598685,33.82206671541403,21.369147137369147,14.2970793945345,25.952978694240947,22.49720150601786,34.1095471142979,29.752440156496064,28.81911944872965,13.625962679775393,35.10520006892524,12.665523279936293,21.327466173174866,26.1122570771254,20.006478516892603,18.541354174744544,39.71507758655129,17.116629572335572,20.50851520663512,24.229672960084283,29.702748093641485,19.37765945813783,29.253518204236048,34.12003254165033,36.27092479807933,29.960520302582257,21.32389048984106,38.77685449482044,29.724456459707056,14.987585360397576,16.703939385450933,22.696089711935073,26.47728331704949,30.567864746936177
36.724086601899415,18.113182756519958,35.79196605163006,29.029410677711365,26.692704634376852,38.20599002570794,29.67191394576188,19.8168871478621,25.029706895435734,32.46533330154705,17.7336406622892,23.03553385348436,18.761964104054016,18.50531619267135,35.894393469613846,19.387271040734607,27.273894124706597,24.727767233818856,17.471027877056063,33.30443630183716,32.78303147725301,14.76202529496335,11.22966950458631,24.455572693203642,10.984413658718447,14.697323533906838,30.632311650426807,35.977785732998534,30.464211427802322,32.609555222869716,25.58251510422904,13.880112693645879,35.67708716761681,17.493091595747146,9.617514802393396,31.08558978676169,16.84203779806524,34.19907517725677,22.12003231384544,33.70151559434855,14.10401662725718,28.714547493776738,21.452073932641177,24.875830000278008,39.60407994273566,21.148132944022557,19.463307178291682,16.471614945410348,12.764845535286714,23.259834887427797,29.703194550904023,30.040589149892423,17.391154511716405,28.262805213626567,30.06053504989784,28.354147674583032,20.945465445034845,33.81957440987496,21.352735559117104,14.496389325326662,25.998000462382368,22.68860423879187,34.07296796340479,29.56110104416177,28.850186452982456,13.576726663101821,35.20397119325726,12.830321293572151,21.27191547831094,26.10194379371549,20.097079701985816,18.719357156306685,39.82976416742096,17.244519068742314,20.40608833087854,24.196870366539013,29.537286018273985,19.270205786856746,29.25993156804373,34.04420664108732,36.45588236501963,29.864467437878556,21.154309237237488,38.82175489512619,29.55859933742714,14.875828488143124,16.705287158772904,22.87714984096903,26.470206394954833,30.483205743588194
36.60493661113551,18.181421998616386,35.64654705170548,29.175380763202785,26.565423806107606,38.156066835738535,29.721469763917998,19.727346419277595,24.857873607591284,32.47018210505434,17.541008120806865,22.981969004314376,18.715914552702465,18.429346547145286,36.07358066720052,19.191604545019498,27.266465103544828,24.687031106129204,17.447909876569252,33.110663277166466,32.739241376048916,14.613734136371038,11.164772336642377,24.573037964140234,11.123335546521286,14.787641779709158,30.520314670268917,35.84335322294709,30.527106118992283,32.47549494515336,25.532678582826694,14.071861318883998,35.64972321589553,17.56473856595992,9.437699915801886,31.035257707335028,17.023554304748348,34.2768508188431,22.15169786890761,33.58177101723653,13.957885631012896,28.64891999809912,21.445488763424525,24.94833239009535,39.41780047790617,21.341306700164367,19.44333329648091,16.519416033091208,12.71527582165928,23.43104979404026,29.793904524140594,30.16601198470942,17.324464276043205,28.40359415130393,30.189347543496723,28.49170560516264,20.878494128581497,33.803713177913494,21.340196370180493,14.695364675713279,26.045175894133873,22.882778865481008,34.0645600511078,29.366675489357988,28.874701039516488,13.536754939517433,35.30616167228852,12.997616178616205,21.23229821649922,26.092533199293737,20.227490017800463,18.87069978163661,39.92424828604675,17.389406028401645,20.305686536829914,24.11076136518867,29.383576753185643,19.175555368408393,29.23370532401971,33.92963865380929,36.617704367279686,29.789464153399813,20.97359263322416,38.863179722842084,29.386258007822477,14.77434746814924,16.70554924863834,23.052154385195447,26.464900065359195,30.386534898105563
36.48814581118522,18.23339461295565,35.49273301981725,29.341554407215668,26.456784277897608,38.13190544203311,29.77535982911011,19.629625269469138,24.691902412037045,32.474399594351524,17.342837673714236,22.95531029686003,18.68400500495556,18.351092339445454,36.2548485897347,18.995012593274918,27.24824831767741,24.655097530978324,17.44245965471259,32.911716459012865,32.71948135002996,14.464536609693365,11.111133520457244,24.694951767425678,11.26252683396505,14.885587047112361,30.415278914009143,35.71290668911167,30.60428225532684,32.3450053065195,25.483005964816563,14.262624090021513,35.61592682307091,17.60977293809765,9.266030802083876,30.94305347358498,17.220709823396902,34.307376057182694,22.165765963687296,33.46055793178361,13.814503809957909,28.580006709787362,21.45307840282474,25.032770669482478,39.23665806335917,21.496002127404807,19.555553711591955,16.46045924193699,12.656428049759972,23.606558837709553,29.86962450388687,30.291843965717945,17.255820342662833,28.543072905835015,30.298157678515476,28.64636492687947,20.813372329441037,33.789195974393316,21.32974336880132,14.894563033046166,26.087651912288106,23.07665484953752,34.03990461179148,29.17544165725281,28.900831347471204,13.484344745236536,35.41468479486639,13.164535515707101,21.213306987705806,26.121238141306645,20.360203934045252,19.01754338122136,39.999600998422416,17.547105009829206,20.208459997272342,23.996701946195724,29.239602847238146,19.09642280023818,29.250741515921444,33.80892884326681,36.77625691315734,29.7239076502139,20.788814754576954,38.90266998053526,29.203805820997765,14.692752316452546,16.712858882177343,23.22374921700752,26.46225747057545,30.28383031988144
36.369963299932536,18.268582351402273,35.3352696364641,29.502806971300913,26.338774155534303,38.140344730849804,29.83518859235987,19.52220019370388,24.534167279029738,32.47955113392904,17.146820133504914,22.915932821442375,18.62754783021428,18.276060663275224,36.431435211513694,18.798710045074426,27.22777826041253,24.622751181484677,17.442691002255582,32.711880928912855,32.72758735940344,14.316578867438102,11.065714580050127,24.821623099458698,11.400169304364663,14.989991898332374,30.314510975735015,35.57986001616832,30.681940850337185,32.21746031273407,25.44172819677666,14.455271120019596,35.58152816468775,17.62795234615085,9.113244271146307,30.815281077947663,17.41055819759744,34.369094784132926,22.15358427427019,33.30570998689238,13.694629344540367,28.539359120635964,21.467919603728642,25.116457039428436,39.05561571958016,21.635696884997724,19.668647470774086,16.372737087750547,12.584825164835218,23.78638585981051,29.9199759586102,30.421730712938217,17.188097589425034,28.679245816468626,30.39044701938127,28.815248675506506,20.7589576529995,33.78206209385366,21.31625946279368,15.093980414503308,26.12819366173827,23.269195221531362,34.004063689593615,28.985790364383355,28.927996223532304,13.426947387966978,35.53517106558153,13.324169497589399,21.213531481715126,26.14133694757547,20.491831171724268,19.166775778131548,40.063195637018744,17.712121920109936,20.11505153264946,23.878545854348364,29.084973192728256,19.050283793903947,29.247069103717656,33.66701723870769,36.917138458719776,29.659573784168334,20.603123294241666,38.93981611409152,29.02230129133981,14.609145575508126,16.72098406416287,23.39011859467199,26.458386091501506,30.17289681457487
36.25416055791954,18.294460835352215,35.17427265198698,29.660215170884904,26.220973993815942,38.177029613333666,29.895476875891134,19.408589131541678,24.38100772358761,32.48319279969776,16.94824772541819,22.89235874633711,18.562420531883156,18.21037559753596,36.608759510894565,18.606976191320243,27.20381787543643,24.571136946274155,17.445005014800824,32.51245069243883,32.74249461018472,14.171250420464222,11.026051834128818,24.953177305344113,11.540681736890644,15.092595911126406,30.215876940715688,35.42229334188796,30.765375634115312,32.126843647533214,25.42634050693476,14.648020466923464,35.632625212248854,17.634317289573676,8.978865667850698,30.667288245447082,17.599250913902534,34.435051088469876,22.16027940172351,33.14004695080001,13.592205586299805,28.493915394770475,21.48196114973695,25.19456611491081,38.87203519960872,21.78111314692097,19.803392258924426,16.34631829075692,12.501688743645042,23.96694941137834,29.94200183695591,30.557844991908937,17.124732960474795,28.811373886379148,30.461006354697954,28.999322767807705,20.725221785689513,33.771349979894886,21.303645353806193,15.293294575738745,26.167028471716375,23.460621254179664,33.96107611512732,28.796628903717036,28.950762851270063,13.366122866102568,35.67533679612621,13.466556802249453,21.222443465361923,26.183280448595323,20.62633279568672,19.30872667060377,40.11266687429951,17.882641569438483,20.0229882616084,23.76894050992703,28.918030806832423,19.039471381329122,29.264808228980744,33.522086428515415,37.05381465888612,29.593304140266945,20.41786672010457,38.97570951231696,28.844089703429837,14.518447027715947,16.72477924044275,23.548577208565842,26.444428674991926,30.051669514814392
