scenario,total_time,total_collisions,max_collision_duration,avg_movement_time,avg_jerk,avg_path_ratio,avg_nn_distance,dispersion,avg_congestion_duration_seconds
SPHERE_DISCRETE,795,0,0,483.65,21.339086153434938,2.445926267777443,7.918926046020941,1.9989842244676428,0.0
SPHERE_DYNAMIC,550,0,0,393.3,20.947772725848804,1.9885900774725176,8.10379318227663,1.4486182416072757,0.0
SPHERE_INERTIA,603,0,0,404.15,20.186266508672713,2.047434776213645,8.121802267436987,1.6576471786876776,0.0
SPHERE_ROLE_BASED,866,0,0,503.8,22.527898140862682,2.5472545319213538,7.952028757536393,1.9570606493075078,0.0
SPHERE_DISCRETE,891,2,6,624.55,12.189414276767305,3.1416542114481993,7.020209944458165,1.837142129462338,0.0
SPHERE_DYNAMIC,891,2,6,624.55,12.189414276767305,3.1416542114481993,7.020209944458165,1.837142129462338,0.0
SPHERE_INERTIA,891,2,6,624.55,12.189414276767305,3.1416542114481993,7.020209944458165,1.837142129462338,0.0
SPHERE_ROLE_BASED,891,2,6,624.55,12.189414276767305,3.1416542114481993,7.020209944458165,1.837142129462338,0.0
