Agent0_x,Agent0_y,Agent0_z,Agent1_x,Agent1_y,Agent1_z,Agent2_x,Agent2_y,Agent2_z,Agent3_x,Agent3_y,Agent3_z
-14.8,25.0,25.0,64.8,25.0,25.0,25.0,-14.8,25.0,25.0,64.8,25.0
-14.600000000000001,25.0,25.0,64.6,25.0,25.0,25.0,-14.600000000000001,25.0,25.0,64.6,25.0
-14.400000000000002,25.0,25.0,64.39999999999999,25.0,25.0,25.0,-14.400000000000002,25.0,25.0,64.39999999999999,25.0
-14.200000000000003,25.0,25.0,64.19999999999999,25.0,25.0,25.0,-14.200000000000003,25.0,25.0,64.19999999999999,25.0
-14.000000000000004,25.0,25.0,63.999999999999986,25.0,25.0,25.0,-14.000000000000004,25.0,25.0,63.999999999999986,25.0
-13.800000000000004,25.0,25.0,63.79999999999998,25.0,25.0,25.0,-13.800000000000004,25.0,25.0,63.79999999999998,25.0
-13.600000000000005,25.0,25.0,63.59999999999998,25.0,25.0,25.0,-13.600000000000005,25.0,25.0,63.59999999999998,25.0
-13.400000000000006,25.0,25.0,63.39999999999998,25.0,25.0,25.0,-13.400000000000006,25.0,25.0,63.39999999999998,25.0
-13.200000000000006,25.0,25.0,63.199999999999974,25.0,25.0,25.0,-13.200000000000006,25.0,25.0,63.199999999999974,25.0
-13.000000000000007,25.0,25.0,62.99999999999997,25.0,25.0,25.0,-13.000000000000007,25.0,25.0,62.99999999999997,25.0
-12.800000000000008,25.0,25.0,62.79999999999997,25.0,25.0,25.0,-12.800000000000008,25.0,25.0,62.79999999999997,25.0
-12.600000000000009,25.0,25.0,62.599999999999966,25.0,25.0,25.0,-12.600000000000009,25.0,25.0,62.599999999999966,25.0
-12.40000000000001,25.0,25.0,62.39999999999996,25.0,25.0,25.0,-12.40000000000001,25.0,25.0,62.39999999999996,25.0
-12.20000000000001,25.0,25.0,62.19999999999996,25.0,25.0,25.0,-12.20000000000001,25.0,25.0,62.19999999999996,25.0
-12.00000000000001,25.0,25.0,61.99999999999996,25.0,25.0,25.0,-12.00000000000001,25.0,25.0,61.99999999999996,25.0
-11.800000000000011,25.0,25.0,61.799999999999955,25.0,25.0,25.0,-11.800000000000011,25.0,25.0,61.799999999999955,25.0
-11.600000000000012,25.0,25.0,61.59999999999995,25.0,25.0,25.0,-11.600000000000012,25.0,25.0,61.59999999999995,25.0
-11.400000000000013,25.0,25.0,61.39999999999995,25.0,25.0,25.0,-11.400000000000013,25.0,25.0,61.39999999999995,25.0
-11.200000000000014,25.0,25.0,61.199999999999946,25.0,25.0,25.0,-11.200000000000014,25.0,25.0,61.199999999999946,25.0
-11.000000000000014,25.0,25.0,60.99999999999994,25.0,25.0,25.0,-11.000000000000014,25.0,25.0,60.99999999999994,25.0
-10.800000000000015,25.0,25.0,60.79999999999994,25.0,25.0,25.0,-10.800000000000015,25.0,25.0,60.79999999999994,25.0
-10.600000000000016,25.0,25.0,60.59999999999994,25.0,25.0,25.0,-10.600000000000016,25.0,25.0,60.59999999999994,25.0
-10.400000000000016,25.0,25.0,60.399999999999935,25.0,25.0,25.0,-10.400000000000016,25.0,25.0,60.399999999999935,25.0
-10.200000000000017,25.0,25.0,60.19999999999993,25.0,25.0,25.0,-10.200000000000017,25.0,25.0,60.19999999999993,25.0
-10.000000000000018,25.0,25.0,59.99999999999993,25.0,25.0,25.0,-10.000000000000018,25.0,25.0,59.99999999999993,25.0
-9.800000000000018,25.0,25.0,59.799999999999926,25.0,25.0,25.0,-9.800000000000018,25.0,25.0,59.799999999999926,25.0
-9.60000000000002,25.0,25.0,59.59999999999992,25.0,25.0,25.0,-9.60000000000002,25.0,25.0,59.59999999999992,25.0
-9.40000000000002,25.0,25.0,59.39999999999992,25.0,25.0,25.0,-9.40000000000002,25.0,25.0,59.39999999999992,25.0
